C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_11_504.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_11_504.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_11_504.jpg, 0, 0, 0, 8.160223E-05
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_11_612.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_11_612.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_11_612.jpg, 0, 0, 0, 7.914474E-05
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_11_719.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_11_719.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_11_719.jpg, 0, 0, 0, 8.007894E-05
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_11_820.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_11_820.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_11_820.jpg, 0, 0, 0, 7.988762E-05
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_11_927.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_11_927.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_11_927.jpg, 0, 0.042939, 0, 0.02001409
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_12_030.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_12_030.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_12_030.jpg, 0, 0.310338, 0, 0.2904132
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_12_147.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_12_147.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_12_147.jpg, 0, 0.6914556, 0, 1.007037
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_12_250.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_12_250.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_12_250.jpg, 0, 0.9932712, 0, 2.155219
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_12_346.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_12_346.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_12_346.jpg, 0, 1, 0, 3.332734
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_12_449.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_12_449.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_12_449.jpg, -0.0974547, 1, 0, 4.504104
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_12_553.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_12_553.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_12_553.jpg, -0.4102839, 1, 0, 5.637841
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_12_671.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_12_671.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_12_671.jpg, -0.3164337, 1, 0, 6.980952
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_12_778.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_12_778.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_12_778.jpg, 0, 1, 0, 8.338428
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_12_890.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_12_890.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_12_890.jpg, 0, 1, 0, 9.459624
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_13_000.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_13_000.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_13_000.jpg, 0, 1, 0, 10.79337
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_13_109.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_13_109.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_13_109.jpg, -0.04969801, 1, 0, 12.0206
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_13_221.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_13_221.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_13_221.jpg, -0.4147194, 1, 0, 13.10424
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_13_327.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_13_327.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_13_327.jpg, -0.08483794, 1, 0, 14.21901
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_13_448.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_13_448.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_13_448.jpg, 0, 1, 0, 15.50587
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_13_561.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_13_561.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_13_561.jpg, 0, 1, 0, 16.79545
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_13_679.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_13_679.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_13_679.jpg, -0.3512673, 1, 0, 17.98288
C:\CPA\sem6\cvi620\IMG\center_2025_04_11_17_28_13_797.jpg, C:\CPA\sem6\cvi620\IMG\left_2025_04_11_17_28_13_797.jpg, C:\CPA\sem6\cvi620\IMG\right_2025_04_11_17_28_13_797.jpg, -0.3069168, 1, 0, 19.11526
